---------------------
  #    meV     cm^-1
---------------------
  0    5.0i     40.6i
  1    5.0i     40.6i
  2    0.0i      0.0i
  3    0.0       0.0
  4    0.0       0.0
  5    4.2      33.6
  6    5.5      44.5
  7    5.5      44.5
  8    6.2      49.7
  9    7.0      56.1
 10    7.4      59.6
 11    7.4      59.6
 12    7.8      63.1
 13    7.9      63.5
 14    8.2      66.5
 15    8.2      66.5
 16    9.6      77.0
 17   10.1      81.3
 18   10.1      81.3
 19   10.7      86.6
 20   10.9      88.2
 21   12.0      97.1
 22   12.0      97.1
 23   12.1      97.5
 24   12.8     102.9
 25   12.8     103.0
 26   12.9     104.0
 27   12.9     104.0
 28   13.4     107.8
 29   13.5     109.1
 30   13.5     109.1
 31   13.6     109.5
 32   13.7     110.8
 33   14.0     112.7
 34   14.0     112.7
 35   14.0     112.9
 36   14.3     115.0
 37   14.5     117.1
 38   14.9     119.8
 39   14.9     119.8
 40   15.4     124.6
 41   15.4     124.6
 42   16.2     130.5
 43   16.5     133.2
 44   16.6     133.9
 45   16.6     133.9
 46   17.1     137.8
 47   17.3     139.8
 48   17.3     139.8
 49   17.8     143.7
 50   18.3     147.7
 51   18.8     151.9
 52   18.8     151.9
 53   18.9     152.2
 54   19.1     154.1
 55   19.1     154.1
 56   19.3     155.4
 57   19.3     155.9
 58   19.5     157.3
 59   19.8     160.1
 60   19.9     160.9
 61   19.9     160.9
 62   20.1     161.9
 63   20.1     161.9
 64   20.4     164.7
 65   20.7     167.3
 66   21.0     169.0
 67   21.0     169.0
 68   21.4     172.4
 69   21.4     172.4
 70   21.5     173.1
 71   21.8     175.9
 72   22.1     178.6
 73   23.0     185.8
 74   23.5     189.5
 75   24.2     195.3
 76   24.3     196.0
 77   24.3     196.0
 78   24.4     197.1
 79   24.6     198.8
 80   24.6     198.8
 81   24.9     201.1
 82   25.2     203.0
 83   25.2     203.3
 84   25.6     206.7
 85   25.6     206.7
 86   25.7     207.4
 87   26.5     214.1
 88   26.5     214.1
 89   26.9     217.4
 90   27.3     219.9
 91   27.6     222.8
 92   27.6     222.8
 93   27.9     224.8
 94   28.0     225.5
 95   28.0     225.5
 96   28.7     231.6
 97   28.7     231.7
 98   29.0     234.1
 99   29.2     235.6
100   29.2     235.6
101   29.2     235.7
102   29.3     236.2
103   29.4     237.5
104   29.6     238.7
105   29.6     238.7
106   29.6     239.0
107   30.5     246.2
108   32.8     264.9
109   32.8     264.9
110   43.9     354.5
---------------------
Zero-point energy: 1.032 eV
